ID,Storm,Lat,Lon,DistancetoCoast,NumberofHouses,TotalValue_2023,Stories_sum,Stories_median,Elevation,Rainfall_Max,Rainfall_Mean,MaxWind,FloodDepth,Damage,DamageRate
773,Henri,40.734,-74.009,0.174949981,858,2357600557,9699,13,4.285375445,20.16226632,1.919085507,21.6026774,0.158385457,NA,NA
774,Henri,40.642,-73.886,0.121984417,700,323838635.8,1171,1,2.346287473,19.85662338,1.7918897,37.05343745,0.222726337,1501,4.64E-06
787,Henri,40.837,-73.925,0.540918264,196,224090956.1,616,3,25.49256622,19.99304773,1.988606528,17.06272618,0.148088809,NA,NA
788,Henri,40.819,-73.815,0.526278812,252,169090301.6,514,2,7.774968048,21.4235147,2.058205835,26.11277674,0.184979263,NA,NA
797,Henri,40.742,-74.004,0.399241878,390,3473677227,5865,11,4.626757571,20.20299641,1.960152078,23.81034514,0.157780653,NA,NA
800,Henri,40.819,-73.858,0.542635718,392,563705759.6,791,2,5.862068675,20.8017807,1.902113589,21.39328468,0.211872616,NA,NA
810,Henri,40.781,-73.915,0.388314243,470,682771927.9,1163,2,13.1079564,19.98780084,1.980368337,27.57027293,0.061810684,NA,NA
811,Henri,40.825,-73.878,0.573574458,219,177485148.3,551,2,7.027009791,20.64172435,1.977418247,19.97762718,0.102133406,NA,NA
812,Henri,40.827,-73.878,0.443748705,198,195023520.2,463,2,9.813907836,20.71028517,1.970090644,19.7315964,0.078351748,NA,NA
819,Henri,40.716,-73.959,0.59722214,614,799109152.3,2379,4,9.131609222,20.07194612,1.909261105,34.55379608,0.098786694,NA,NA
828,Henri,40.578,-73.979,0.250721117,27,233606055.9,57,2,2.347623048,19.65885916,1.791697537,21.01903593,0.227911802,NA,NA
829,Henri,40.578,-73.964,0.502252152,633,435831954.2,2538,2,2.536751094,19.7890468,1.826364953,22.21099141,0.201620718,5899,1.35E-05
831,Henri,40.62,-73.907,0.309971597,409,369638730.2,787,2,2.970752193,19.78226251,1.748335366,32.40884433,0.259013114,NA,NA
834,Henri,40.761,-73.841,0.357306736,135,170777706.9,135,1,3.101712272,20.87253859,1.956904082,37.94246328,0.153075632,NA,NA
840,Henri,40.791,-73.942,0.476501502,369,606163683.4,2116,6,3.122538969,19.91242869,1.981346666,25.66645215,0.451112865,NA,NA
845,Henri,40.671,-73.991,0.349152829,379,631143353.3,989,2,6.399729644,19.37261266,1.459649325,30.05395913,0.098259099,NA,NA
846,Henri,40.836,-73.929,0.261874901,108,170749647.5,335,3,18.45554049,19.99304773,1.988606528,16.76630516,0.112976476,NA,NA
848,Henri,40.636,-73.917,0.466719651,462,384608267.9,1097,2,4.365753437,19.66253814,1.689020891,32.85677507,0.327202181,NA,NA
851,Henri,40.784,-73.948,0.340731098,344,925937136.5,6241,18,5.720901039,19.91557591,1.982024605,32.25488634,0.160245228,NA,NA
854,Henri,40.634,-74.036,0.26990266,253,410117710.7,557,2,8.141956527,18.87096445,1.661210835,22.31075571,0.07878844,NA,NA
859,Henri,40.913,-73.907,0.379662801,6,119694404.9,16,0.5,37.46829635,19.90766262,1.704829848,8.225723481,0.146192227,NA,NA
860,Henri,40.783,-73.913,0.419000664,309,343239451.5,827,2,11.09725547,19.98780084,1.980368337,29.50447298,0.029647186,NA,NA
865,Henri,40.853,-73.915,0.482973698,165,152916561.5,429,2,32.49564524,20.16499937,1.878429716,15.24349898,0.026195305,NA,NA
868,Henri,40.763,-73.868,0.576503852,498,374519138.3,1069,2,19.79724001,20.46384593,1.99637606,38.01560091,0.057426564,NA,NA
869,Henri,40.76,-73.866,0.627670785,446,341395505.5,916,2,24.52165595,20.4655357,1.999956844,38.55252765,0.008452643,NA,NA
